/* 
Selezionare tutti i corsi di laurea con i relativi corsi e insegnanti
*/

SELECT *
FROM degrees
JOIN courses ON courses.degree_id = degrees.id
JOIN course_teacher ON course_teacher.course_id = courses.id
JOIN teachers ON course_teacher.teacher_id = teachers.id

id,department_id,name,level,address,email,website,id,degree_id,name,description,period,year,cfu,website,course_id,teacher_id,id,name,surname,phone,email,office_address,office_number
19,4,"Corso di Laurea in Ingegneria dell'Informazione",triennale,"Piazza De Santis 425",ingegneria-dellinformazione@uni.it,www.ingegneria-dellinformazione.uni.it,324,19,"placeat mollitia atque","Illo vel dolore ex non. At et dolore quo eos iste. Voluptatem quidem quod sit asperiores. Corporis praesentium voluptatem est modi eum.","I semestre",2,14,www.quibusdam.uni.it,324,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
22,4,"Corso di Laurea in Ingegneria Elettronica",triennale,"Contrada Patrizio 91 Appartamento 25",ingegneria-elettronica@uni.it,www.ingegneria-elettronica.uni.it,378,22,"officia dolor a","Dolores eius dolor fugiat aut ut et occaecati. Quod voluptatum dolor et similique. Quas nemo maiores aperiam molestiae.","I semestre",1,15,www.et.uni.it,378,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
39,7,"Corso di Laurea in Fisioterapia",triennale,"Strada Parisi 5",fisioterapia@uni.it,www.fisioterapia.uni.it,690,39,"officia nam pariatur","Omnis quo cupiditate esse nihil. Natus qui necessitatibus libero et sed omnis laudantium. Occaecati rerum omnis in fugit sapiente similique maiores. Veritatis enim quasi cum aut quas ipsam quia.","II semestre",3,6,www.aspernatur.uni.it,690,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
43,7,"Corso di Laurea in Tecniche di Neurofisiopatologia",triennale,"Incrocio Bibiana 32",tecniche-di-neurofisiopatologia@uni.it,www.tecniche-di-neurofisiopatologia.uni.it,757,43,"illum est ea","Ducimus sint eveniet quam molestiae et. Quia blanditiis natus dolorum quisquam et a. Qui nobis ut illo culpa voluptatem. Voluptatem omnis voluptatibus et cupiditate illum quibusdam.","I semestre",1,11,NULL,757,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
44,7,"Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria",magistrale,"Via Mariani 185",odontoiatria-e-protesi-dentaria@uni.it,www.odontoiatria-e-protesi-dentaria.uni.it,790,44,"qui corrupti itaque","Tenetur et nisi vel ut enim beatae. Ratione qui quas quis voluptatum reiciendis saepe vel. Laboriosam qui debitis ut natus. Ipsa quia quo quo veritatis illum.","I semestre",2,6,NULL,790,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
46,8,"Corso di Laurea in Chimica Industriale",triennale,"Contrada Guerra 3",chimica-industriale@uni.it,www.chimica-industriale.uni.it,821,46,"aut reprehenderit deleniti","Dolor est animi sunt. Esse quam reprehenderit officia odit est nesciunt. Laborum autem odio pariatur numquam recusandae.","II semestre",1,12,www.inventore.uni.it,821,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
46,8,"Corso di Laurea in Chimica Industriale",triennale,"Contrada Guerra 3",chimica-industriale@uni.it,www.chimica-industriale.uni.it,830,46,"ea enim voluptatibus","Facere nostrum et quam tempore. Omnis quis iure molestias aut fugiat. Et recusandae temporibus sunt fugiat corrupti.","II semestre",2,7,www.dolorem.uni.it,830,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
67,11,"Corso di Laurea in Statistica per le Tecnologie e le Scienze",triennale,"Rotonda Bianchi 27 Appartamento 28",statistica-per-le-tecnologie-e-le-scienze@uni.it,www.statistica-per-le-tecnologie-e-le-scienze.uni.it,1170,67,"dolores dolor voluptas","Ut sapiente qui ut at ut quia corrupti. Quia ut et est qui et. Doloribus velit sequi laborum laboriosam omnis.","I semestre",2,15,NULL,1170,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
69,12,"Corso di Laurea in Lettere",triennale,"Rotonda Moretti 6",lettere@uni.it,www.lettere.uni.it,1200,69,"ullam numquam perspiciatis","Ducimus accusamus culpa a cum fugiat consequatur facilis. Similique et et et laborum quis. Harum veniam autem porro vel et dolor ut.","I semestre",2,7,www.consectetur.uni.it,1200,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
69,12,"Corso di Laurea in Lettere",triennale,"Rotonda Moretti 6",lettere@uni.it,www.lettere.uni.it,1206,69,"sit officiis harum","Facilis vitae qui facilis dolores deleniti. Aperiam numquam debitis aspernatur numquam cum pariatur. Quo blanditiis et sed omnis necessitatibus nihil. Eaque at voluptatem nobis velit aut architecto.","II semestre",2,3,NULL,1206,3,3,Erminia,Gatti,NULL,morelli.marina@libero.it,"Strada Vitali 8 Piano 0",87
3,1,"Corso di Laurea in Biotecnologie",triennale,"Rotonda Sasha 74 Appartamento 36",biotecnologie@uni.it,www.biotecnologie.uni.it,48,3,"earum aperiam nihil","Itaque cupiditate omnis tempore sunt voluptatem. Et laudantium consectetur cum omnis quibusdam quidem.","I semestre",1,4,www.ratione.uni.it,48,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
3,1,"Corso di Laurea in Biotecnologie",triennale,"Rotonda Sasha 74 Appartamento 36",biotecnologie@uni.it,www.biotecnologie.uni.it,55,3,"sed sint non","Blanditiis ut quas quaerat rerum quo deserunt quia. Sit ullam earum suscipit quos. Amet magnam molestiae ut quaerat quaerat qui. Soluta minus totam placeat veniam aliquam quia nisi.","I semestre",2,8,www.rem.uni.it,55,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
14,2,"Corso di Laurea Magistrale in Fisica",magistrale,"Piazza Nathan 77 Piano 2",fisica@uni.it,www.fisica.uni.it,228,14,"earum iure maxime","Recusandae quas quod voluptate qui vel. Temporibus sunt tenetur voluptatem atque expedita id excepturi. Optio veniam esse accusamus nihil quia. Cumque id excepturi omnis facere aut dolor ea.","I semestre",2,4,NULL,228,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
21,4,"Corso di Laurea in Ingegneria Biomedica",triennale,"Rotonda Piras 93 Appartamento 04",ingegneria-biomedica@uni.it,www.ingegneria-biomedica.uni.it,369,21,"veniam molestiae molestias","Harum eos vero ea ut ut aut. Aut totam sit minima iusto aperiam iste mollitia. Nostrum officiis qui est non accusamus sint sunt. Sapiente nulla qui similique dolorem id similique.","I semestre",2,11,NULL,369,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
23,4,"Corso di Laurea Magistrale in Bioingegneria",magistrale,"Contrada Sibilla 626",bioingegneria@uni.it,www.bioingegneria.uni.it,408,23,"necessitatibus sed vel","Qui neque delectus dolor modi. Explicabo totam numquam qui itaque. Tempora minus illum corporis. Enim ut dolorem culpa.","I semestre",2,15,NULL,408,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
24,4,"Corso di Laurea Magistrale in Ingegneria dell'Automazione",magistrale,"Strada Ippolito 684",ingegneria-dellautomazione@uni.it,www.ingegneria-dellautomazione.uni.it,412,24,"ipsum dolor suscipit","Saepe libero sit consequatur eaque aspernatur. Qui est error dolore inventore molestias repudiandae. Repellat ut voluptas commodi repudiandae. Eos unde id voluptas et.","I semestre",1,9,NULL,412,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
26,4,"Corso di Laurea Magistrale in Ingegneria Informatica",magistrale,"Via Milani 9",ingegneria-informatica@uni.it,www.ingegneria-informatica.uni.it,440,26,"vel deleniti tempore","Nihil itaque ea doloribus. A qui voluptatem eum ut sit. Laboriosam eaque et debitis dolor eligendi sed. Sed assumenda veniam voluptatem temporibus est nesciunt.","I semestre",1,15,NULL,440,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
29,5,"Corso di Laurea in Informatica",triennale,"Rotonda Rossetti 478 Piano 2",informatica@uni.it,www.informatica.uni.it,496,29,"nulla hic corrupti","Molestias vitae aperiam praesentium fuga aliquam. Maiores id ipsum rerum quia aliquam illum odit. Unde commodi autem consequatur corrupti. Maxime sit occaecati et vero ducimus pariatur labore.","II semestre",2,10,NULL,496,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
38,7,"Corso di Laurea in Educazione Professionale",triennale,"Rotonda Davis 720",educazione-professionale@uni.it,www.educazione-professionale.uni.it,662,38,"quia voluptatibus et","Quibusdam deleniti aut dolorem laborum sed reprehenderit placeat. Aut beatae vitae sed molestiae. Natus quidem pariatur officia natus qui molestias. Non ratione molestias reprehenderit libero.","II semestre",2,10,NULL,662,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
39,7,"Corso di Laurea in Fisioterapia",triennale,"Strada Parisi 5",fisioterapia@uni.it,www.fisioterapia.uni.it,685,39,"delectus doloribus sint","Ea et et incidunt molestiae recusandae. Enim necessitatibus aliquam nesciunt vel. Aliquid in qui velit sit at fugit. Nesciunt nam et corrupti. Atque reprehenderit non rerum vel.","I semestre",3,4,www.illum.uni.it,685,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
43,7,"Corso di Laurea in Tecniche di Neurofisiopatologia",triennale,"Incrocio Bibiana 32",tecniche-di-neurofisiopatologia@uni.it,www.tecniche-di-neurofisiopatologia.uni.it,759,43,"et nesciunt fugit","Molestiae rerum soluta facilis perferendis amet. Dolorem iure amet deleniti. Quibusdam sed quia dicta quia explicabo laudantium cum.","I semestre",1,5,www.nulla.uni.it,759,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
44,7,"Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria",magistrale,"Via Mariani 185",odontoiatria-e-protesi-dentaria@uni.it,www.odontoiatria-e-protesi-dentaria.uni.it,792,44,"est consequatur quos","Dolorum placeat distinctio blanditiis earum et. Ut magni cum voluptatibus quae dolore repellat. Itaque dolorem cumque vero dicta rerum voluptatem. Et pariatur minus a repellendus animi.","I semestre",2,4,www.aperiam.uni.it,792,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
46,8,"Corso di Laurea in Chimica Industriale",triennale,"Contrada Guerra 3",chimica-industriale@uni.it,www.chimica-industriale.uni.it,836,46,"ut accusantium dignissimos","Sed neque dolor dolorem possimus. Et nemo in in saepe voluptas sapiente ipsum. Accusamus ratione reprehenderit qui reiciendis et modi consequuntur. Est sunt illum ut architecto.","II semestre",3,7,NULL,836,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
50,8,"Corso di Laurea Magistrale in Chimica Industriale",magistrale,"Incrocio Gatti 16",chimica-industriale@uni.it,www.chimica-industriale.uni.it,903,50,"consequatur architecto eum","Reprehenderit molestiae dolorem eveniet et eos aut quasi. Dolorum nesciunt corrupti praesentium animi ab. Quia culpa exercitationem minus tenetur illum voluptate. Vero assumenda et et cumque officia.","I semestre",2,4,NULL,903,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
51,8,"Corso di Laurea Magistrale in Scienza dei Materiali",magistrale,"Contrada Piccarda 7",scienza-dei-materiali@uni.it,www.scienza-dei-materiali.uni.it,913,51,"deleniti et consectetur","Deleniti corrupti animi quos sint. Sunt assumenda magnam cumque excepturi cum est.","I semestre",1,10,NULL,913,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
51,8,"Corso di Laurea Magistrale in Scienza dei Materiali",magistrale,"Contrada Piccarda 7",scienza-dei-materiali@uni.it,www.scienza-dei-materiali.uni.it,918,51,"eum eveniet modi","Itaque et soluta sapiente provident et nulla dignissimos eos. Nihil quam minima velit labore. Delectus est occaecati ut. Sed ipsum dolor voluptates mollitia perferendis voluptate quasi.","I semestre",2,7,NULL,918,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
63,10,"Corso di Laurea Magistrale in Innovazione e Servizio Sociale",magistrale,"Incrocio Lombardi 6 Appartamento 60",innovazione-e-servizio-sociale@uni.it,www.innovazione-e-servizio-sociale.uni.it,1108,63,"quidem sunt beatae","Dolorem eligendi voluptas at quis saepe nemo. Aperiam aut qui minus repudiandae. Necessitatibus ut perspiciatis non iusto vel consequatur recusandae. Omnis harum aut necessitatibus.","II semestre",1,5,NULL,1108,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
69,12,"Corso di Laurea in Lettere",triennale,"Rotonda Moretti 6",lettere@uni.it,www.lettere.uni.it,1210,69,"autem quo sed","Accusamus laudantium voluptatem maxime ut eius asperiores a cupiditate. Esse laudantium eveniet vel laborum sunt est facere. Numquam et corporis sunt aut.","I semestre",3,8,NULL,1210,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
70,12,"Corso di Laurea in Lingue, Letterature e Mediazione Culturale",triennale,"Contrada Lombardi 7",lingue-letterature-e-mediazione-culturale@uni.it,www.lingue-letterature-e-mediazione-culturale.uni.it,1240,70,"eveniet qui cumque","Repellendus aperiam voluptatem natus nulla soluta quia nisi minima. Quam laborum doloremque autem ut. Harum omnis sunt temporibus reprehenderit.","II semestre",3,15,www.quidem.uni.it,1240,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
71,12,"Corso di Laurea Magistrale in Filologia Moderna",magistrale,"Strada Sartori 45",filologia-moderna@uni.it,www.filologia-moderna.uni.it,1245,71,"incidunt aperiam qui","Inventore et sit et et qui fugit. Velit iusto aut et assumenda asperiores reiciendis ut.","I semestre",1,12,www.enim.uni.it,1245,4,4,Prisca,Caputo,"+33 37 87454077",lazzaro12@hotmail.com,"Via Mariano 48",2
3,1,"Corso di Laurea in Biotecnologie",triennale,"Rotonda Sasha 74 Appartamento 36",biotecnologie@uni.it,www.biotecnologie.uni.it,60,3,"corrupti est nobis","Quidem enim est optio quidem ut eius. Omnis eveniet sint quo minima laudantium. In ratione itaque quos dolorum occaecati. Dicta sint iusto tempore culpa et in.","I semestre",3,8,NULL,60,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
11,2,"Corso di Laurea in Astronomia",triennale,"Rotonda De Santis 61",astronomia@uni.it,www.astronomia.uni.it,173,11,"est delectus ut","Qui voluptas est et rerum quis a. Et facilis cumque ea nobis cumque. Reiciendis dolores rem debitis ratione esse. Maiores nobis rerum consequatur minus pariatur delectus.","II semestre",1,3,www.maiores.uni.it,173,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
11,2,"Corso di Laurea in Astronomia",triennale,"Rotonda De Santis 61",astronomia@uni.it,www.astronomia.uni.it,185,11,"voluptatem in excepturi","Sed quia necessitatibus aut. Ea nostrum voluptas repudiandae delectus deserunt ut. Similique qui perferendis explicabo occaecati velit. Esse expedita nesciunt eum accusantium sed qui.","II semestre",3,6,NULL,185,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
12,2,"Corso di Laurea in Fisica",triennale,"Strada Rossi 7 Piano 3",fisica@uni.it,www.fisica.uni.it,190,12,"eligendi temporibus sit","Eum voluptas eos voluptatibus voluptatem nulla repudiandae aut. Aut quas consequatur dolore est est. Totam nulla sunt voluptas rem et iusto similique assumenda.","I semestre",1,6,NULL,190,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
13,2,"Corso di Laurea Magistrale in Astronomia",magistrale,"Via Samira 39",astronomia@uni.it,www.astronomia.uni.it,215,13,"minima fuga corrupti","Eos est sit eum omnis. Officiis labore ipsam quia sit. Et modi non sint voluptatem dolores rerum consequatur consequatur. Quo dolorem ipsa aut numquam.","I semestre",2,9,NULL,215,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
31,5,"Corso di Laurea Magistrale in Informatica",magistrale,"Incrocio Eustachio 253 Appartamento 90",informatica@uni.it,www.informatica.uni.it,532,31,"molestiae aut quasi","Harum beatae occaecati occaecati iste. Aut sit et eum. Aut consequuntur minus beatae commodi voluptas. Dolores tempora id assumenda id recusandae est perspiciatis.","II semestre",2,5,www.et.uni.it,532,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
38,7,"Corso di Laurea in Educazione Professionale",triennale,"Rotonda Davis 720",educazione-professionale@uni.it,www.educazione-professionale.uni.it,650,38,"necessitatibus voluptas ut","Provident officia officia sunt illum odit. Et magni odit temporibus quia quae enim. Ea in nam ullam. Ut corporis corporis qui tempore.","I semestre",1,6,www.non.uni.it,650,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
40,7,"Corso di Laurea in Igiene Dentale",triennale,"Rotonda Martini 446",igiene-dentale@uni.it,www.igiene-dentale.uni.it,701,40,"reprehenderit temporibus optio","Voluptas libero velit ab expedita error nam quod. Dolor cum eaque provident voluptatibus distinctio. Sit ut voluptas recusandae eum perspiciatis assumenda. Est eos nobis aut occaecati qui aliquid.","I semestre",2,5,NULL,701,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
45,8,"Corso di Laurea in Chimica",triennale,"Contrada Battaglia 163 Piano 6",chimica@uni.it,www.chimica.uni.it,805,45,"repellendus eligendi error","Occaecati et accusantium sit est sapiente. Hic nihil ad voluptates rerum aut inventore. Quia dolore consectetur aut delectus deserunt.","I semestre",2,7,NULL,805,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
47,8,"Corso di Laurea in Scienza dei Materiali",triennale,"Rotonda Santoro 1 Appartamento 52",scienza-dei-materiali@uni.it,www.scienza-dei-materiali.uni.it,847,47,"qui quis quam","Vero laboriosam ab impedit fugiat at labore nisi. Officiis asperiores sunt qui illo tempora. Numquam ut vero consequatur esse. Aut ullam blanditiis expedita dolorem error velit.","I semestre",2,14,www.excepturi.uni.it,847,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
52,8,"Corso di Laurea Magistrale in Scienze e Tecnologie per l'Ambiente",magistrale,"Rotonda Ferrari 38",scienze-e-tecnologie-per-lambiente@uni.it,www.scienze-e-tecnologie-per-lambiente.uni.it,933,52,"ipsa sint omnis","Et mollitia accusamus possimus autem sunt ea. Nisi aut voluptas et amet. At magnam temporibus impedit harum est. Quam sequi tempora minus repellat distinctio.","II semestre",1,12,www.accusamus.uni.it,933,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
71,12,"Corso di Laurea Magistrale in Filologia Moderna",magistrale,"Strada Sartori 45",filologia-moderna@uni.it,www.filologia-moderna.uni.it,1248,71,"aut dolorum distinctio","Aut fuga quae aut placeat in est. Sapiente alias cum fugit odio eum. Officiis debitis quae cumque. Cumque quam inventore atque dolores dolorem.","II semestre",1,14,NULL,1248,5,5,Arduino,Vitali,NULL,nicoletta.marino@derosa.it,"Borgo Martino 82 Appartamento 07",97
